timestamp,open,high,low,close,vol,start
2019-03-15 09:19:38.268,13775,13780,13750,13750,72717,2019-03-15 09:19:09.168
2019-03-15 09:19:51.474,13750,13755,13700,13710,74452,2019-03-15 09:19:38.268
2019-03-15 09:20:33.861,13710,13730,13700,13715,73051,2019-03-15 09:19:51.474
2019-03-15 09:21:18.950,13715,13725,13690,13690,76418,2019-03-15 09:20:33.861
2019-03-15 09:21:54.448,13690,13695,13650,13650,76528,2019-03-15 09:21:18.950
2019-03-15 09:22:53.743,13650,13675,13645,13650,75217,2019-03-15 09:21:54.448
2019-03-15 09:23:52.618,13650,13680,13645,13645,78349,2019-03-15 09:22:53.743
2019-03-15 09:24:16.067,13645,13645,13600,13600,77931,2019-03-15 09:23:52.618
2019-03-15 09:24:17.754,13600,13605,13600,13600,83892,2019-03-15 09:24:16.067
2019-03-15 09:24:42.683,13600,13615,13590,13605,73619,2019-03-15 09:24:17.754
2019-03-15 09:25:36.199,13605,13630,13600,13630,78294,2019-03-15 09:24:42.683
2019-03-15 09:26:10.856,13630,13635,13610,13610,74117,2019-03-15 09:25:36.199
2019-03-15 09:26:47.047,13610,13625,13590,13595,76508,2019-03-15 09:26:10.856
2019-03-15 09:27:46.375,13595,13615,13585,13595,73705,2019-03-15 09:26:47.047
2019-03-15 09:28:42.700,13595,13630,13585,13630,74618,2019-03-15 09:27:46.375
2019-03-15 09:29:20.221,13630,13660,13625,13650,73684,2019-03-15 09:28:42.700
2019-03-15 09:30:07.016,13650,13655,13615,13630,73403,2019-03-15 09:29:20.221
2019-03-15 09:31:01.367,13630,13670,13630,13670,73295,2019-03-15 09:30:07.016
2019-03-15 09:31:59.590,13670,13680,13650,13660,73401,2019-03-15 09:31:01.367
2019-03-15 09:34:00.481,13660,13665,13630,13630,73403,2019-03-15 09:31:59.590
2019-03-15 09:35:41.029,13630,13640,13610,13620,73561,2019-03-15 09:34:00.481
2019-03-15 09:37:42.177,13620,13645,13610,13635,73737,2019-03-15 09:35:41.029
2019-03-15 09:39:47.754,13635,13655,13625,13625,73350,2019-03-15 09:37:42.177
2019-03-15 09:41:20.168,13625,13655,13610,13650,73656,2019-03-15 09:39:47.754
2019-03-15 09:41:54.512,13650,13695,13645,13690,73724,2019-03-15 09:41:20.168
2019-03-15 09:42:32.021,13690,13700,13685,13690,73469,2019-03-15 09:41:54.512
2019-03-15 09:43:30.101,13690,13700,13680,13700,73148,2019-03-15 09:42:32.021
2019-03-15 09:44:15.583,13700,13730,13700,13705,73135,2019-03-15 09:43:30.101
2019-03-15 09:44:58.581,13705,13715,13695,13710,74170,2019-03-15 09:44:15.583
2019-03-15 09:45:41.897,13710,13750,13705,13730,74139,2019-03-15 09:44:58.581
2019-03-15 09:46:34.035,13730,13750,13725,13735,72999,2019-03-15 09:45:41.897
2019-03-15 09:46:49.722,13735,13735,13715,13715,73083,2019-03-15 09:46:34.035
2019-03-15 09:47:56.018,13715,13765,13715,13755,73299,2019-03-15 09:46:49.722
2019-03-15 09:49:07.476,13755,13775,13750,13760,73959,2019-03-15 09:47:56.018
2019-03-15 09:49:26.555,13760,13765,13730,13730,73366,2019-03-15 09:49:07.476
2019-03-15 09:51:14.313,13730,13755,13730,13735,74372,2019-03-15 09:49:26.555
2019-03-15 09:52:53.730,13735,13750,13730,13740,76867,2019-03-15 09:51:14.313
2019-03-15 09:53:14.206,13740,13755,13735,13755,73356,2019-03-15 09:52:53.730
2019-03-15 09:55:13.623,13755,13770,13740,13750,72778,2019-03-15 09:53:14.206
2019-03-15 09:56:40.409,13750,13750,13700,13700,75366,2019-03-15 09:55:13.623
2019-03-15 09:58:22.572,13700,13720,13685,13705,73021,2019-03-15 09:56:40.409
2019-03-15 10:01:18.766,13705,13745,13700,13735,73220,2019-03-15 09:58:22.572
2019-03-15 10:03:27.523,13735,13780,13735,13755,75611,2019-03-15 10:01:18.766
2019-03-15 10:04:15.320,13755,13760,13725,13730,73352,2019-03-15 10:03:27.523
